SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year
20,"SOJEBLF12A8C138B50",156787,"Cry For The Desert","ARUTS6Y1187FB5BDAB",,"",,"Twila Paris",0.0,290.19383,7,0.554,105.834,4,0.818,"How Beautiful (Cry For The Desert Album Version)",1990
21,"SOVXFJX12A81C2387B",230740,"LAViSH","ARWJEOP1187B996538",,"",,"Soul Ballet",0.0,462.07955,4,0.279,101.006,4,0.95,"Tuscan Chica",2007
22,"SOFWODZ12A6701DE58",15562,"Opposite Of H20","ARZBV7T1187FB51EA8",,"BronxNew York City (USA)",,"Drag-On / DMX",0.0,232.82893,10,0.732,102.889,4,0.185,"Niggas Die 4 Me",0
23,"SOWMYVP12AB017BB47",538806,"My Own Set Of Rules","ARUNHZF122988ED7DA",35.21962,"North Carolina",-80.01955,"Lou Reid & Carolina",0.0,145.94567,4,0.014,109.696,4,0.653,"It's So Hard To Stumble (When You're Down On Your Knees)",0
24,"SOVFWRR12A58A7C25E",502757,"Killswitch Engage [Special Edition]","ARDQ9AP1187B9BA3F6",42.31256,"Boston MA",-71.08868,"Killswitch Engage",0.0,189.20444,5,0.024,149.998,3,0.697,"Never Again (Album Version)",0
25,"SONWSOW12A8C13BC80",113780,"Rickie Lee Jones","ARXPE571187FB4AFD0",,"Chicago IL",,"Rickie Lee Jones",0.0,246.62159,1,0.0,143.497,4,0.591,"Danny's All-Star Joint (LP Version)",1979
26,"SOEYLSW12A8C131366",529522,"Hold Tight","AR57Z841187B9B7D7D",,"Kingston Jamaica",,"Gregory Isaacs",0.0,219.402,9,0.078,138.039,4,0.897,"Down the Line",1979
27,"SOLREKJ12AF729FF59",235138,"French","AR0XSOO1187B9B9E88",51.50632,"London / Ex-Manchester",-0.12714,"Buzzcocks",0.0,144.77016,9,0.9,181.421,4,0.235,"Get On Our Own",1978
28,"SOGQTJR12AC468D18E",695158,"Murskapunkkia","ARKPDBH1242077DEB1",,"",,"Murskahumppa",0.0,121.57342,9,0.0,132.368,4,0.397,"Mua rakastan",0
29,"SOREPOR12AB01859E4",813152,"The Paul - EP","ARA2ZTN1187B98E3ED",41.50471,"Cleveland OH",-81.69074,"This Moment In Black History",0.0,145.8673,9,0.147,156.408,4,0.287,"Blackwords Masking",0
30,"SOYYFNE12AB018A96D",774026,"From Hell...With Love","ARJ8PZJ1187B99314F",,"Seattle Washington",,"Aiden",0.0,241.03138,7,0.705,125.653,4,1.0,"Die Romantic [Live]",0
31,"SOPOEHR12A8C13D801",250395,"A Pretty Gal's Love","ARPEJMN11F4C84080E",38.00335,"Virginia",-79.77127,"New Roanoke Jug Band",0.0,216.81587,4,0.588,92.932,4,1.0,"I've Been Cryin' Since You've Been Gone",0
32,"SOFTJHT12AB0180955",567667,"The Very Best of Congolese Rumba : The Kinshasa-Abidjan Sessions (le meilleur de la rumba congolais","ARE8MZ81187B9AB2A3",,"",,"Wendo Kolosoy",0.0,305.94567,7,0.789,88.471,7,1.0,"Soki Olingi Ngai",0
33,"SOOHVCV12AB0181E5D",463184,"Look At  You Now","ARTHKHA1187FB3996A",40.85251,"Long Island NY",-73.13585,"PMD",0.0,214.02077,11,0.329,115.949,5,0.858,"The Awakening (Clean)",0
34,"SOBJZRJ12A8C13EB0C",257781,"A Greater Vision Christmas","ARC28SN1187B989049",,"United States",,"Greater Vision",0.0,113.42322,0,0.0,184.529,3,1.0,"Carol Of The Bells (Instramental Featuring The Budapest Pops Orchestra)",0
35,"SOLKBKQ12A8C13400C",87397,"LIVE IN CONCERT","ARHT0B11187B993CB3",30.22032,"Lafayette LA",-92.01705,"Eddy Raven",0.0,204.85179,5,0.92,133.428,1,0.061,"I WANNA HEAR IT FROM YOU",1995
36,"SONDXDP12A6D4F866C",34539,"Tales From The Ozone","ARYV1OT1187B9B4C8E",,"",,"Commander Cody And His Lost Planet Airmen",0.0,161.88036,2,0.859,166.531,1,0.0,"Cajun Baby (LP Version)",1975
37,"SODVYMC12A8C139669",99019,"Lonnie Johnson Vol. 1 1937 - 1940","ARDNQ0R1187B9BA1EF",29.95369,"New Orleans LA",-90.07771,"Lonnie Johnson",0.0,199.44444,3,0.855,90.814,4,0.203,"She's My Mary",0
38,"SOIMQSC12A8C1344C4",286272,"Feel Like Going Home: The Essential Charlie Rich","AR0B1CH1187FB3A824",34.56398,"Benton Arkansas",-92.58685,"Charlie Rich",0.0,184.65914,0,0.194,119.963,1,0.228,"Nice 'N' Easy",1997
39,"SOQLHDY12A6D4FA28B",53183,"After Hours","AR56P361187B9AC4DB",54.5958,"Belfast Northern Ireland",-5.93494,"Gary Moore",0.0,306.72934,9,0.84,86.429,3,1.0,"Nothing's The Same (2002 Digital Remaster)",1992
40,"SOVQSBI12AB017F0E5",531454,"Up Front","ARH4N0N1187FB3E1F1",,"",,"Malkit Singh",0.0,256.57424,0,0.397,161.543,4,0.009,"Nach Ke VEkha Bhabhiyie",0
41,"SOCWMGG12A8C1332B2",241191,"Early Rythms","AR78WG01187B98E404",19.45565,"Santiago de los Caballeros Domin",-70.70719,"Johnny Pacheco",0.0,152.31955,10,0.099,116.045,4,0.854,"Cero Codazos",0
42,"SOCOICY12A8C140D18",315023,"Sex On Fire","ARF2EHS1187B994F4E",36.16778,"Nashville Tennessee",-86.77836,"Kings Of Leon",0.0,466.65098,9,0.0,114.73,4,0.572,"Knocked Up",2007
43,"SOAGRCT12AAF3B5E13",434249,"Match Box Blues","AR6DGPH1187B998587",35.83073,"Tennessee",-85.97874,"David Evans",0.0,250.56608,7,0.221,86.201,4,0.0,"Prison Bound Blues",0
44,"SODSHKO12A6D4FB716",60485,"Blues At Montreux","ARLTWXK1187FB5A3F8",32.74863,"Fort Worth TX",-97.32925,"King Curtis with Jack Dupree",0.0,329.19465,5,0.651,158.121,3,0.886,"Everything's Gonna Be Alright (Live Version)",0
45,"SOCBRFS12AB01825FA",417769,"Electronic experimental and microtonal 1953-1999","AR7OEB71187B995A17",50.93364,"Malm� Belgium",4.22417,"Henri Pousseur",0.0,1130.94485,4,0.301,79.266,5,0.685,"Racine dix-neuvième de huit-quarts",0
46,"SOIUEQG12A8C134F30",188216,"The Out of Towners","AR8IEZO1187B99055E",,"",,"Marc Shaiman",0.0,154.122,2,0.496,131.615,4,0.469,"We're New Yorkers Now!",1999
47,"SOWMJNZ12AB017E8CD",500861,"Novedades","ARO0R521187B98A2D1",,"",,"2 Minutos",0.0,179.09506,7,0.384,105.498,4,0.542,"Vos No Confiaste",1994
48,"SOQSXNC12A8C133130",141904,"Legendary Country Blues Artists - CD C","ARJ7NR71187FB437B7",35.5953,"Brownsville TN",-89.26212,"Yank Rachell",0.0,184.73751,4,0.578,91.589,1,0.089,"My Mind Got Bad",0
49,"SONNXJI12A58A7AD05",601499,"Yes! 2-Disc Set","ARCF06I1187B995398",,"",,"K-OS",0.0,282.43546,9,0.63,102.91,4,0.159,"The Avenue (Zack W. Remix)",0
50,"SOLUWXE12A6BD550CD",72563,"Phoney Phone Calls 1959-1972","ARV21JS1187B99E516",40.73197,"Newark NJ",-74.17418,"Jerry Lewis",0.0,446.37995,11,0.42,145.333,5,0.804,"Bill Lynch",0
51,"SOIAJUT12A8AE4888C",138556,"La Extraordinaria Paradoja Del Sonido Quijano","ARAIJG51187B9B97A4",,"",,"Café Quijano",0.0,205.40036,2,0.086,104.036,4,0.605,"Hablando A Un Cristal",1999
52,"SOQZHMH12A8C13A393",259476,"Leland Martin","ARFS01P1187B9A395A",42.17963,"Blandford MA",-72.92483,"Leland Martin",0.0,175.62077,4,0.852,159.968,4,0.415,"Stone Cold Fingers (Bonus Track)",0
53,"SOEXCDW12A58A7C4C9",262259,"Sittin' Here With Nothing","ARSX72J1187FB3740D",,"",,"Big Mike Griffin",0.0,232.82893,5,0.333,86.164,4,0.551,"The Last Thing I Need",0
54,"SONKAVH12AB017D040",539006,"Pills","ARI3W3K1187FB49E6F",,"",,"Cedric Gervais feat. Second Sun",0.0,392.9073,10,0.86,124.063,4,0.548,"Pills (Dub) (Dub)",0
55,"SOADKNO12AB0182BC7",659812,"Blow My Fuse","AR3SEQM1187B98E9E8",39.6425,"Hagerstown MD",-77.71758,"Kix",0.0,257.2273,1,0.747,140.994,4,0.381,"Cold Blood (LP Version)",0
56,"SOKVWUH12A58A7D2CD",481245,"I'm No Angel","AROMB601187B991317",40.65507,"Brooklyn NY",-73.94888,"Mae West",0.0,150.49098,2,0.0,101.276,7,0.634,"Put It Off Until Tomorrow",2006
57,"SOZGSEZ12A8C137C40",206616,"Back To The 70'S-The Very Best Of Dakis","ARBKMHZ11F4C843491",,"",,"Dakis",0.0,215.7971,5,0.489,93.017,4,0.512,"Kathe Mera Kathe Nihta (2005 Digital Remaster)",0
58,"SOWEHVB12A6D4F8F0B",56996,"The Projected Passion Revue","AR8CT8U1187FB4D803",52.47859,"Birmingham England",-1.9086,"Dexys Midnight Runners",0.0,202.39628,4,0.212,119.448,1,0.387,"Spiritual Passion (aka Dubious)",2007
59,"SOEGCMJ12A58A7B0E6",730040,"ANANÉSWORLD","ARIYFYD1187FB3F0E5",,"",,"Anané",0.0,409.70404,11,0.96,125.016,4,0.266,"Plastic People (Original Mix)",0
60,"SOHCSLO12A8C14171E",174801,"Birmingham Jubilee Singers Vol. 2 (1927-1930)","ARJSGPI1241B9C8855",,"",,"Birmingham Jubilee Singers",0.0,188.3424,11,0.387,108.049,1,0.0,"Queen Street Rag (144826)",0
61,"SOXCLCB12AB01829E2",328334,"Morning Cup Of Jazz","ARYFXQ21187FB4DAEF",27.53092,"Laredo TX",-99.502,"Poncho Sanchez / Dianne Reeves",0.0,355.05587,5,0.809,215.461,3,0.358,"Morning",1999
62,"SONYSNO12AB0189762",763433,"Burnin up","ARW90Y31187B98FC7C",,"",,"Pinchers & Ganglords",0.0,235.17995,4,0.203,159.798,4,0.544,"Girls Girls",0
63,"SOBDYCT12AB0183AF5",804859,"100 Love Evergreen","ARAJPHH1187FB5566A",40.7038,"Queens NY",-73.83168,"The Shangri-Las",0.0,136.01914,10,0.218,65.771,4,0.648,"Remember (Walkin' In the Sand)",1964
64,"SOSPNZF12AB018214F",159971,"Cronica","ARS4KT21187B9B9438",,"",,"Fito Paez",0.0,175.25506,11,0.789,162.38,4,1.0,"Corazon Clandestino",0
65,"SOPVHBC12A8C13E506",376297,"Voices","ARCP8YG1187B997D72",52.88356,"UK - England - South East",-1.97406,"Claire Hamill",0.0,313.05098,0,0.454,111.856,4,1.0,"Icicle Rain",0
66,"SOBVZHC12AB0181786",557613,"Toutes Les Femmes En Moi","AREMOC71187B996C2F",,"",,"Lara Fabian",0.0,246.20363,8,0.709,104.994,4,0.545,"TLFM (Toutes Les Femmes En Moi)",2009
67,"SOPDZXV12A58A77173",280275,"Roadmaps and Revelations","ARGGD1E1187B98FA9D",,"",,"Parachute Band",0.0,285.36118,9,0.528,87.967,4,0.781,"Thine Is The Kingdom",0
68,"SOQPBEV12AC3DF66EF",729776,"Angelina & Other Favorites (Digitally Remastered)","ARN0DMU1187FB5B63A",,"Philadelphia Pennsylvania",,"Hall & Oates",0.0,158.40608,3,0.619,105.314,1,0.0,"Perkiomen",1993
69,"SOOKCOH12A8C13AA44",251356,"Taste the X","ARFRR9R1187B98A987",,"",,"Ultra X",0.0,209.13587,1,0.01,101.458,4,0.453,"Break Em",0
70,"SOOOJUT12AB01883B9",753651,"Brahms: The Complete Symphonies and Hungarian Dances","ARZOVCV11F4C83D9FA",,"",,"Bamberg Symphony Orchestra and Hans Swarowsky",0.0,151.01342,2,0.331,137.219,4,0.0,"Hungarian Dances_ WoO 1: No. 12 in D Minor: Presto",0
71,"SOXNUWK12A8C140027",735440,"Wolfheart (re-issue + Bonus Tracks)","AR4C6V01187FB3BAF4",39.55792,"Portugal",-7.84481,"Moonspell",0.0,209.03138,11,0.02,85.515,4,0.0,"Trebraruna",0
72,"SOBEVMI12AB018E480",681223,"A Somber Wind From A Distant Shore","ARSKSFC1264D0E32F8",,"",,"Canis Dirus",0.0,722.20689,9,0.667,200.169,3,0.543,"A Somber Wind from a Distant Shore (Album)",0
73,"SOKSVVV12AB0181165",647761,"Bodjal","ARU2IVS1187FB42A82",,"",,"Ale Möller",0.0,184.42404,9,0.79,86.313,1,0.0,"Sandpolskan",0
74,"SOERPVK12AB0185466",345449,"The Beatles","ARAOADX1187B98AED3",36.15398,"Tulsa OK",-95.99277,"Dwight Twilley",0.0,224.54812,7,0.395,90.875,4,1.0,"Tomorrow Never Knows",0
75,"SOYPMHZ12AF72A31BD",282908,"Hold Your Fire","ARMH10M1187FB4184F",,"Wisconsin",,"Firehouse",0.0,278.12526,1,0.633,119.423,4,1.0,"Talk Of The Town",1992
76,"SOAOIBZ12AB01815BE",627950,"Live! At The Royal Albert Hall","ARPBNLO1187FB3D52F",40.71455,"New York NY",-74.00712,"Tiny Tim",0.0,43.36281,6,0.02,93.779,3,0.666,"I Hold Your Hand In Mine [Live At Royal Albert Hall]",2000
77,"SOQTVUL12A6D4F8F04",56996,"The Projected Passion Revue","AR8CT8U1187FB4D803",52.47859,"Birmingham England",-1.9086,"Dexys Midnight Runners",0.0,434.88608,7,0.437,84.437,1,0.0,"Until I Believe In My Soul",1982
78,"SOJFBKG12AB017E36F",533246,"An American Storyteller","ARJSPFM1241B9CD859",,"Middle Village NY",,"Big Jay Oakerson",0.0,172.5122,8,0.434,122.757,1,0.0,"It's All In How You Look At It",2009
79,"SOTBFHX12AB0183936",471943,"Leroy Hutson Selected Hits Vol. 1","ARVML4B1187FB52324",40.73197,"Newark NJ",-74.17418,"Leroy Hutson",0.0,276.87138,8,0.484,171.197,4,0.044,"All Because Of You - Original",0
80,"SOOQKAN12AB01846F9",400022,"Then Sings My Soul: 24 Favorite Hymns & Gospel Songs","ARGIABO1187FB4B3B5",35.32689,"Robbinsville NC",-83.80489,"Ronnie Milsap",0.0,281.52118,9,0.906,83.973,4,0.0,"How Great Thou Art",0
81,"SOAAFUV12AB018831D",762448,"Resistance","AR5ZGC11187FB417A3",37.27188,"California",-119.27023,"Big Mountain",0.0,216.05832,2,0.543,149.169,4,0.315,"Where Do The Children Play? (LP Version)",0
82,"SOAOTOX12A58A7C308",69802,"Ride Ranger Ride","ARHK7A51187FB411D8",40.58751,"Redding CA",-122.39293,"Roy Rogers",0.0,146.07628,9,0.535,101.195,3,0.582,"My Chickasay Girl",0
83,"SOYNESO12AB018782B",513031,"Eddie Cano at PJ's","ARODP5P1187FB40142",,"",,"Eddie Cano",0.0,225.17506,0,0.805,165.263,4,0.535,"The Trolley Song (Live Album Version)",0
84,"SOOKYPR12AB018AD0C",818242,"Endzeit Bunkertracks - Act IV: The Alfa Matrix Selection","ARY02GH1187B99B223",,"Edmonton Alberta Canada",,"Zombie Girl",0.0,256.73098,11,0.207,120.103,4,1.0,"The Darkness (Komor Kommando Mix)",2009
85,"SOYFOXO12A6D4F6C8B",81295,"Honey Hitters","ARMXCWK12086C13DB2",,"NY - New York City",,"I.N.T.",0.0,152.92036,7,0.0,93.105,4,1.0,"Big Sister",0
86,"SOPXTAX12A6D4F573B",37491,"DECEMBERUNDERGROUND","AR2FAMK1187FB4CF60",,"Ukiah CA",,"AFI",0.0,187.03628,1,0.387,170.046,4,0.794,"Summer Shudder",2006
87,"SOFKRIR12AB017CFE4",401201,"Santa's Christmas Collection","ARVQ4QM1187B98AD95",33.52029,"Birmingham AL",-86.8115,"Hank Penny & Sue Thompson",0.0,119.58812,3,0.668,140.151,3,0.941,"Walkin' In The Snow",0
88,"SOGHNAC12CF5663C17",777599,"The Legendary Kenny Rogers","ARO4WQR1187B9B9825",,"Houston TX",,"Kenny Rogers",0.0,135.36608,5,0.531,154.783,1,0.0,"Where Does Rosie Go?",2003
89,"SOUDAKO12A6D4F6A89",29535,"Snap","ARJG2ID1187B9A767E",51.31476,"Woking Surrey England",-0.56623,"The Jam",0.0,135.83628,0,0.799,139.826,4,0.921,"Start!",1980
90,"SODKENB12A6D4F46AF",25979,"Live At The Filmore East","AR8SRQ31187FB4D477",52.94922,"Nottingham England",-1.14392,"Ten Years After",0.0,598.41261,9,0.741,128.239,4,0.359,"50_000 Miles Beneath My Brain (Live)",0
91,"SOGEAPM12A8C137932",157323,"Truly...Sandy","AR0QS8F1187B9ADC96",,"",,"Sandy Lam",0.0,178.54649,10,0.808,122.886,4,1.0,"Zhan Zai Di Yi Pai",0
92,"SORNZLS12AB018E4AB",679314,"Tall_ Dark & Chicano","ARYF20K1187B9B76BD",,"ORANGE California",,"George Lopez",0.0,330.16118,9,0.289,86.353,5,0.728,"Vibrators",2009
93,"SONSUTY12A6D4FA57D",57691,"Luz Negra","ARWI6LR1187FB46E9F",43.57607,"Le Cannet France",7.01815,"Richard Galliano",0.0,190.74567,9,0.51,98.987,1,0.0,"Les Forains",1999
94,"SOGYYVP12A8C14495E",528170,"Feather_ Stone & Light","AREJ5K11187B993F5F",,"",,"R. Carlos Nakai",0.0,170.762,1,0.904,203.737,3,0.835,"Restless Spirits (World)",0
95,"SOQTOZK12A6D4F95AD",40248,"Estados","ARDZJ6H1187FB387F2",,"",,"Moraes Moreira",0.0,194.87302,2,0.09,128.544,4,0.147,"Felicidade",0
96,"SOLEIOS12AB018372B",498256,"Wonderful Town","ARWVMJA1187B98AA6E",37.27188,"California",-119.27023,"Nancy Walker",0.0,162.79465,0,0.007,75.77,5,0.404,"Ya Got Me",0
97,"SOJODUO12A6D4F69CD",50686,"The Art Of Storytelling","ARUMGZN1187FB37125",,"London England",,"Slick Rick",0.0,169.69098,4,0.346,92.551,3,1.0,"Kill Niggaz",1999
98,"SOKHRWE12A6D4F6BE7",79861,"Direct Al Corazon","ARFYUX51187B9A7751",,"",,"Paquito Guzman",0.0,327.67955,11,0.25,176.113,4,0.277,"Cuando Seolvida El Amor",0
99,"SOXAXWG12A81C20D97",132769,"Street Tough","ARISHTQ1187FB3E6F0",,"",,"Ben E. King",0.0,339.66975,4,0.393,208.338,4,0.745,"You Made The Difference To My Life (LP Version)",0
100,"SOEISBO12AC468ABAB",606149,"Preset 001 / Reset 001","ARMUCXW11F50C4BFEC",,"",,"Bionikworld",0.0,413.51791,11,0.03,125.997,4,0.429,"Party Favours (Dee Dee's Flukey Remix)",0
101,"SOJMLXA12A8C12FB20",282332,"Fire Garden","AROY6XW1187B991121",,"Carle Place New York",,"Steve Vai",0.0,304.71791,5,0.663,227.161,4,0.645,"Brother",1996
102,"SOQJLFV12AB01897C7",656041,"Calm Before the Storm","ARGXIE31187FB55B48",,"BAKERSFIELD California",,"Tech N9ne",0.0,354.7424,2,0.612,167.984,4,0.335,"Soldiers At War feat. Kon Juan_ Big Scoob_ Short Nutty_ L.V.",0
103,"SOUSNTL12A6D4F7CE9",23251,"Majurugenta","ARFK45R1187B989AA7",,"",,"Ghorwane",0.0,343.40526,0,0.683,78.666,7,0.661,"Matarlatanta",1993
104,"SOPAHSW12AB0186F88",462641,"Street Breaks & Beats","ARLLANI1187FB5116F",,"",,"Simon Harris",0.0,185.62567,1,0.119,102.976,3,1.0,"Sample Track 18",0
105,"SOHYEJU12AC3DF9CE7",694101,"Rock 'em Dead","ARNRTFR1269FCD155C",,"",,"Adam Richmond",0.0,36.10077,7,0.006,114.057,3,0.741,"Pic & Run",0
106,"SOOTDLW12AB017DBF3",531252,"Pump Up The Bhangra","AR2PNSZ1187B9AF0A4",,"",,"Pardesi",0.0,254.9024,8,0.14,98.824,4,0.288,"Pardesi Pind Wich Ageya",0
107,"SOHUTDD12AB018A94F",715197,"Gypsy (Original Broadway Cast)","AR2JD2Z1187B998A90",40.77735,"New York NY [Astoria Queens]",-73.88137,"Ethel Merman",0.0,135.31383,0,0.703,124.184,1,1.0,"Small World",0
108,"SOOXJSH12A8C137DD1",289558,"40 Dayz & 40 Nightz (Explicit)","AR49IQD1187FB37EA7",,"Los Angeles CA",,"Xzibit featuring Jayo Felony and Method Man",0.0,201.06404,6,0.665,96.058,4,0.99,"Pu**y Pop",0
109,"SOFVXXK12A8C135404",253395,"Re-zoom","ARVVLMQ11F4C8456E4",,"",,"Knack",0.0,230.71302,2,0.581,150.08,4,0.0,"Everything I Do",0
110,"SOLQVOX12AB018BF56",767267,"Put Em Up EP","ARIGY9P1187B9B6428",,"GERMANY",,"Ancient Astronauts",0.0,331.59791,7,0.739,170.04,4,0.922,"Lost in Marrakesh with Entropik (Pathaan's Mirage Mix)",0
111,"SOUWQYP12A8C1373F2",293908,"Estopa","ARZ4Y2H1187FB3C36F",,"",,"Estopa",0.0,195.83955,11,0.742,142.869,4,1.0,"Exiliado En El Lavabo",1999
112,"SOLOJYI12A8C13C49E",217883,"Operaatio Jalokivimeri","AR22KLC1187B98E812",,"",,"Kaija Koo",0.0,192.26077,11,0.436,155.049,4,0.272,"Savu hälvenee",1998
113,"SOKHOUY12A8C1358E0",256978,"Beyond The Valley Of 1984","AREENKN1187B98F35D",40.71455,"New York NY",-74.00712,"The Plasmatics",0.0,286.9024,11,0.701,119.38,4,0.71,"Summer Nite",1981
114,"SOPPIJK12A8C13EAC5",171954,"Vena Cava","ARUUP4L1187B9B72EB",32.71568,"San Diego CA",-117.16172,"Diamanda Galas",0.0,191.42485,11,0.414,168.352,5,0.812,"Vena Cava 8",1993
115,"SOJBLIX12A8C1373C7",93091,"Continued Story / Hi_ How Are You?","AR6CLFP1187B9ACB94",,"Sacramento CA",,"Daniel Johnston",0.0,219.76771,9,0.678,92.938,1,0.23,"Desperate Man Blues",1983
116,"SOAECCP12AB0186ADB",765209,"Move That Thing Vol 2","AR5GLIU1187FB4638A",,"Memphis TN",,"Memphis Jug Band",0.0,184.52853,3,0.413,94.853,1,0.0,"Spider's Nest Blues",2005
117,"SOBDZUW12A8C13ED88",520987,"The Dee Jays / Baby Talk - Best of","ARBIXZL12086C11573",,"",,"The Dee Jays",0.0,195.10812,5,0.725,118.355,4,0.364,"In The Midnight Hour",0
118,"SONRQRW12AB01880EC",648437,"HarpGuitar "Antonio Koudele Plays Evergreens" Vol.1","ARBSAVH1241B9CA637",,"",,"Antonio Koudele",0.0,175.90812,4,0.904,117.298,4,1.0,"Track TAKE FIVE",0
119,"SOFOFCW12AC468DFC5",746053,"Pure Cotton","ARWI92K1187B98A5CC",,"",,"Jets",0.0,260.38812,11,0.678,106.68,7,1.0,"Alligator Come Across (Live)",0
120,"SORVKAX12A8C1343AA",576851,"Joyful Rebellion","ARCF06I1187B995398",,"",,"K-OS",0.0,304.16934,7,0.279,104.128,4,0.507,"Man I Used To Be",2004
121,"SOUSWBE12A679AE573",15742,"Living With Ghosts","AR6I54S1187FB48C6B",,"Old Town ME",,"Patty Griffin",0.0,208.32608,4,0.934,95.738,4,0.737,"Moses",1996
122,"SOFKYTG12A6D4F7275",2014,"Happy Love Sick","ARE8LV21187B9B9A6B",34.05349,"Los Angeles California",-118.24532,"Shifty",0.0,192.91383,3,0.0,163.884,4,0.337,"EZ Cuz You're Beautiful (Album Version)",2004
123,"SOLQLCA12AB0188BBD",763905,"Valleys Of Neptune","ARNDL191187FB51583",,"Seattle USA",,"Jimi Hendrix",0.0,449.74975,8,0.912,146.77,1,0.0,"Hear My Train A Comin'",1989
